116827,i
102344,and
91757,the
76197,you
69089,a
68799,to
67295,uh
63027,that
52886,it
52214,of
45180,know
44624,yeah
38147,in
31720,they
29660,uh-huh
28866,have
27217,but
25627,so
25075,it's
24608,is
24534,we
22899,was
22445,like
21348,well
21123,just
19897,do
19356,that's
18605,for
18243,think
17850,oh
17817,don't
16102,on
16050,right
15853,or
14200,my
14171,not
14146,what
14128,really
13355,be
13331,are
13198,with
12575,there
12566,um
12378,if
12030,one
11588,about
11469,all
11145,get
11120,i'm
10645,because
10510,out
10428,had
10244,at
9999,them
9471,as
9389,up
9226,he
9196,this
9087,when
8898,lot
8560,some
8422,then
8400,would
8372,go
8355,people
8350,going
7987,can
7961,[laughter]
7769,good
7592,no
7570,got
7525,mean
7470,now
7468,kind
7009,time
6957,they're
6355,more
6351,i've
6239,see
6207,things
6197,too
6124,been
6043,from
6021,were
5997,me
5785,how
5781,something
5740,your
5623,much
5501,okay
5466,very
5414,little
5395,guess
5337,she
5271,where
5271,here
5155,an
4917,there's
4903,thing
4880,did
4813,our
4653,their
4502,other
4335,work
4216,yes
4150,years
4074,you're
4029,has
4017,two
3956,any
3951,even
3890,way
3876,say
3817,want
3780,those
3761,we're
3745,probably
3734,pretty
3730,could
3694,back
3693,down
3586,didn't
3546,sure
3450,than
3443,year
3441,real
3384,take
3353,into
3233,home
3017,who
3008,over
2948,put
2929,kids
2906,stuff
2882,said
2880,school
2842,never
2832,can't
2830,her
2821,by
2806,make
2781,went
2765,which
2685,will
2672,only
2613,these
2611,always
2607,around
2599,doing
2573,anything
2571,big
2533,he's
2526,money
2501,nice
2457,off
2449,[breathing]
2438,maybe
2409,him
2377,actually
2376,three
2358,day
2339,still
2317,come
2268,used
2203,his
2190,we've
2180,most
2176,every
2161,huh
2136,last
2133,long
2119,many
2116,new
2113,getting
2104,different
2101,true
2094,[noise]
2085,everything
2085,bit
2050,does
2037,us
2034,course
2026,first
2013,car
2007,same
2003,need
1999,should
1989,thought
1984,sort
1981,t
1976,feel
1967,old
1961,also
1956,use
1947,care
1907,house
1902,great
1877,done
1851,through
1837,problem
1831,doesn't
1818,pay
1816,children
1794,being
1791,haven't
1775,before
1728,ever
1727,though
1727,talking
1714,look
1708,[throat_clearing]
1671,seems
1669,i'll
1644,hard
1644,family
1625,whole
1616,find
1612,bad
1580,another
1574,i'd
1569,live
1564,why
1564,five
1555,far
1553,better
1535,keep
1531,trying
1528,four
1525,interesting
1518,try
1517,quite
1492,else
1484,place
1463,area
1455,watch
1454,read
1451,part
1450,ago
1438,enough
1437,they've
1413,whatever
1409,fact
1408,texas
1407,either
1400,couple
1388,after
1387,hundred
1384,sometimes
1369,having
1367,own
1341,usually
1337,dollars
1332,away
1307,am
1301,while
1296,few
1287,heard
1280,type
1277,made
1267,times
1265,tell
1251,somebody
1244,she's
1244,seen
1242,once
1242,might
1236,high
1222,ten
1222,dallas
1221,again
1219,give
1206,[lipsmack]
1201,what's
1199,wouldn't
1191,started
1191,exactly
1188,job
1187,husband
1185,buy
1182,college
1173,anyway
1170,country
1166,start
1155,fun
1147,week
1146,wasn't
1126,able
1119,remember
1107,least
1106,point
1106,person
1096,working
1088,talk
1085,state
1081,life
1075,since
1075,call
1071,news
1069,let
1062,ones
1062,came
1055,play
1049,v
1046,someone
1044,both
1021,you've
1021,almost
1020,six
1017,system
1012,everybody
1011,may
990,isn't
987,sounds
987,enjoy
981,night
977,took
973,days
971,gets
949,believe
945,goes
939,c
934,wanted
929,called
929,agree
926,next
922,end
911,yet
897,love
896,looking
895,makes
892,until
889,company
885,understand
885,saying
882,half
869,wow
868,couldn't
850,especially
849,gone
849,child
846,parents
846,idea
837,run
835,women
831,thousand
831,guy
829,spend
826,problems
824,let's
821,wife
821,whether
821,bought
820,credit
818,saw
813,small
810,twenty
808,hear
800,such
794,myself
793,movie
792,month
790,city
783,government
781,they'll
769,world
766,coming
766,boy
761,stay
761,paper
759,seem
759,faint
759,best
758,help
753,change
752,worked
749,music
749,comes
747,each
746,places
742,together
732,tax
727,basically
717,th-
715,thinking
712,huh-uh
710,wonderful
709,water
707,lived
707,i-
705,certain
702,found
701,show
700,definitely
699,food
696,cars
695,matter
694,supposed
693,months
689,number
680,dog
679,funny
668,business
662,less
662,certainly
658,gotten
656,eight
655,young
654,nothing
648,name
647,we'll
647,crime
642,situation
641,program
639,taking
639,percent
634,summer
634,reason
634,friends
633,during
632,close
630,deal
629,thirty
629,side
629,paying
628,taxes
626,b
618,rather
618,eat
614,important
613,pick
612,public
612,mine
610,happen
608,schools
608,drive
605,set
605,moved
603,neat
599,camping
597,outside
597,easy
595,gosh
594,several
585,involved
584,town
584,insurance
583,mother
582,making
581,drug
580,says
578,living
575,today
574,tried
574,bye-bye
571,seven
569,gun
567,room
563,won't
561,works
561,older
559,computer
556,aren't
554,anymore
552,paid
550,sit
550,fifty
548,s
548,between
546,jury
546,card
543,n
543,happened
